Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Somalia,Eastern Mediterranean,15123,95.15,63,0.4,0,781,4.91,2,0.01,0,Community transmission
Martinique,Americas,14964,3987.58,2157,574.79,0,102,27.18,4,1.07,0,Community transmission
Togo,Africa,14649,176.95,379,4.58,47,138,1.67,5,0.06,1,Community transmission
Tajikistan,Europe,14527,152.31,253,2.65,0,112,1.17,7,0.07,0,Pending
Mali,Africa,14514,71.67,50,0.25,4,530,2.62,2,0.01,0,Community transmission
Andorra,Europe,14273,18472.79,198,256.26,0,127,164.37,0,0,0,Community transmission
Belize,Americas,13683,3441.16,165,41.5,0,332,83.5,2,0.5,0,Community transmission
Bahamas,Americas,13566,3449.77,346,87.99,0,273,69.42,19,4.83,0,Clusters of cases
Burkina Faso,Africa,13536,64.76,27,0.13,4,169,0.81,1,0,0,Community transmission
Congo,Africa,12998,235.55,208,3.77,0,174,3.15,7,0.13,0,Community transmission
Curacao,Americas,12775,7785.22,386,235.23,238,126,76.79,0,0,0,Community transmission
Lesotho,Africa,12398,578.74,495,23.11,0,339,15.82,4,0.19,0,Community transmission
Djibouti,Eastern Mediterranean,11627,1176.82,6,0.61,0,155,15.69,0,0,0,Clusters of cases
Aruba,Americas,11234,10522.08,65,60.88,36,108,101.16,1,0.94,0,Community transmission
South Sudan,Africa,10917,97.53,26,0.23,0,117,1.05,0,0,0,Community transmission
Timor-Leste,South-East Asia,10142,769.24,280,21.24,14,26,1.97,1,0.08,0,Community transmission
Equatorial Guinea,Africa,8828,629.23,38,2.71,0,123,8.77,1,0.07,0,Community transmission
Benin,Africa,8244,68,17,0.14,0,107,0.88,2,0.02,0,Community transmission
Guam,Western Pacific,8210,4864.46,24,14.22,1,143,84.73,2,1.19,1,Clusters of cases
Central African Republic,Africa,7142,147.87,0,0,0,98,2.03,0,0,0,Community transmission
Nicaragua,Americas,7044,106.33,225,3.4,0,193,2.91,1,0.02,0,Community transmission
Yemen,Eastern Mediterranean,6987,23.43,35,0.12,6,1370,4.59,4,0.01,2,Community transmission
Gambia,Africa,6920,286.34,592,24.5,310,190,7.86,5,0.21,2,Community transmission
Iceland,Europe,6718,1844.93,43,11.81,0,30,8.24,0,0,0,Community transmission
Eritrea,Africa,6402,180.52,118,3.33,0,30,0.85,1,0.03,0,Community transmission
Sierra Leone,Africa,6186,77.55,155,1.94,20,115,1.44,3,0.04,0,Community transmission
Burundi,Africa,5894,49.57,208,1.75,60,8,0.07,0,0,0,Community transmission
Jersey,Europe,5724,5310.03,1373,1273.7,0,69,64.01,0,0,0,Community transmission
Niger,Africa,5587,23.08,49,0.2,14,194,0.8,0,0,0,Community transmission
Saint Lucia,Americas,5481,2984.86,71,38.67,11,87,47.38,1,0.54,0,Community transmission
Liberia,Africa,5396,106.69,240,4.75,81,148,2.93,4,0.08,0,Community transmission
San Marino,Europe,5096,15015.62,4,11.79,2,90,265.19,0,0,0,Community transmission
Chad,Africa,4964,30.22,10,0.06,0,174,1.06,0,0,0,Community transmission
Gibraltar,Europe,4586,13611.94,173,513.49,31,94,279.01,0,0,0,Clusters of cases
Barbados,Americas,4258,1481.69,82,28.53,7,48,16.7,0,0,0,Community transmission
United States Virgin Islands,Americas,4186,4008.62,153,146.52,0,32,30.64,0,0,0,Community transmission
Comoros,Africa,4081,469.3,15,1.72,0,147,16.9,1,0.11,0,Community transmission
Guinea-Bissau,Africa,4052,205.89,105,5.34,8,73,3.71,3,0.15,1,Community transmission
Lao People's Democratic Republic,Western Pacific,3540,48.66,715,9.83,114,5,0.07,2,0.03,0,Sporadic cases
Liechtenstein,Europe,3158,8150.31,7,18.07,0,58,149.69,0,0,0,Sporadic cases
Monaco,Europe,2682,6834.17,60,152.89,2,33,84.09,0,0,0,Sporadic cases
Sint Maarten,Americas,2664,6212.4,26,60.63,5,34,79.29,0,0,0,Community transmission
Mauritius,Africa,2535,199.33,404,31.77,0,19,1.49,1,0.08,0,Community transmission
Bermuda,Americas,2530,4062.76,9,14.45,0,33,52.99,0,0,0,Sporadic cases
Saint Martin,Americas,2523,6526.29,51,131.92,0,30,77.6,0,0,0,Community transmission
New Zealand,Western Pacific,2466,51.14,36,0.75,6,26,0.54,0,0,0,Sporadic cases
Turks and Caicos Islands,Americas,2455,6340.72,19,49.07,2,18,46.49,0,0,0,Clusters of cases
Bhutan,South-East Asia,2427,314.54,137,17.76,6,2,0.26,1,0.13,0,Clusters of cases
Sao Tome and Principe,Africa,2410,1099.66,18,8.21,0,37,16.88,0,0,0,Community transmission
Saint Vincent and the Grenadines,Americas,2263,2039.84,19,17.13,0,12,10.82,0,0,0,Community transmission
British Virgin Islands,Americas,2024,6693.79,877,2900.42,0,17,56.22,14,46.3,5,Community transmission
Isle of Man,Europe,1933,2273.26,249,292.83,3,29,34.1,0,0,0,No cases
Bonaire,Americas,1652,7898.64,19,90.84,11,17,81.28,0,0,0,Community transmission
Antigua and Barbuda,Americas,1268,1294.82,2,2.04,0,42,42.89,0,0,0,Clusters of cases
Saint Barthelemy,Americas,1057,10692.97,5,50.58,0,1,10.12,0,0,0,Clusters of cases
Faroe Islands,Europe,925,1892.97,57,116.65,0,1,2.05,0,0,0,Sporadic cases
Guernsey,Europe,882,1368.12,28,43.43,11,17,26.37,0,0,0,Community transmission
Other,Other,764,,0,,0,13,,0,,0,Not applicable
Cayman Islands,Americas,622,946.44,6,9.13,0,2,3.04,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,550,1033.99,20,37.6,0,3,5.64,0,0,0,Community transmission
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,305,69.72,28,6.4,14,3,0.69,0,0,0,Sporadic cases
Dominica,Americas,206,286.15,7,9.72,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,188,326.63,3,5.21,1,2,3.47,0,0,0,Pending
Grenada,Americas,163,144.86,1,0.89,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,129,45.18,0,0,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,113,753.23,2,13.33,1,0,0,0,0,0,Sporadic cases
Greenland,Europe,78,137.39,23,40.51,6,0,0,0,0,0,No cases
Falkland Islands (Malvinas),Americas,60,1722.65,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,26,448.66,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,21,420.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
